国,クリック数,表示回数,CTR,掲載順位
日本,139,8016,1.73%,10.93
台湾,3,40,7.5%,6.45
フランス,2,34,5.88%,7.59
タイ,2,33,6.06%,7.85
ベトナム,1,76,1.32%,9.3
マレーシア,1,25,4%,6.44
イタリア,1,23,4.35%,7.87
オランダ,1,16,6.25%,7.06
ニュージーランド,1,10,10%,5.4
アラブ首長国連邦,1,7,14.29%,8.43
スウェーデン,1,5,20%,11.8
カンボジア,1,4,25%,8
米国,0,2690,0%,7.3
イギリス,0,379,0%,6.26
ブラジル,0,99,0%,6.97
カナダ,0,94,0%,7.34
韓国,0,76,0%,8.03
インドネシア,0,73,0%,5.63
ドイツ,0,45,0%,8.87
フィリピン,0,43,0%,7
シンガポール,0,38,0%,5.13
インド,0,38,0%,13
香港,0,26,0%,6.92
スペイン,0,26,0%,7
オーストラリア,0,24,0%,5.17
メキシコ,0,24,0%,7.54
アルゼンチン,0,23,0%,6.48
中国,0,21,0%,8.24
トルコ,0,18,0%,10.89
アルジェリア,0,15,0%,6.87
チリ,0,15,0%,12.4
コロンビア,0,13,0%,8.08
ジャマイカ,0,11,0%,5.73
スリランカ,0,10,0%,3.8
ポーランド,0,10,0%,4.5
ルーマニア,0,9,0%,5.67
ウクライナ,0,9,0%,5.78
エジプト,0,9,0%,7
エクアドル,0,9,0%,8.44
ポルトガル,0,9,0%,12.67
ベネズエラ,0,8,0%,5.38
ベルギー,0,8,0%,6.5
バングラディッシュ,0,8,0%,17.25
サウジアラビア,0,7,0%,4.29
ネパール,0,7,0%,6.29
イラク,0,7,0%,7
モロッコ,0,7,0%,13
ケニア,0,6,0%,5.17
チュニジア,0,6,0%,7.83
オーストリア,0,6,0%,8.33
パキスタン,0,6,0%,17.67
オマーン,0,6,0%,18.83
ミャンマー（ビルマ）,0,5,0%,5.2
フィンランド,0,5,0%,5.4
モンゴル,0,5,0%,5.4
南アフリカ,0,5,0%,5.8
ロシア,0,5,0%,7.6
アイルランド,0,5,0%,9.2
ペルー,0,5,0%,24.4
バハマ,0,4,0%,4.5
ベラルーシ,0,4,0%,5
アルバニア,0,4,0%,5.75
トリニダード・トバゴ,0,4,0%,8.25
セルビア,0,4,0%,9.75
マカオ,0,3,0%,2
プエルトリコ,0,3,0%,3.67
コスタリカ,0,3,0%,4
ラオス,0,3,0%,4.67
ドミニカ,0,3,0%,6
グルジア,0,3,0%,6.67
アゼルバイジャン,0,3,0%,7.33
バルバドス,0,3,0%,7.33
アルメニア,0,3,0%,8
パナマ,0,3,0%,9
コソボ,0,3,0%,10.67
エチオピア,0,3,0%,13.33
フィジー,0,2,0%,1
デンマーク,0,2,0%,2
チェキア,0,2,0%,2.5
リビア,0,2,0%,3.5
ウズベキスタン,0,2,0%,4
スイス連邦,0,2,0%,5.5
グァテマラ,0,2,0%,5.5
モルドバ,0,2,0%,5.5
イスラエル,0,2,0%,6
ボリビア,0,2,0%,6.5
スロベニア,0,2,0%,6.5
ヨルダン,0,2,0%,7
カザフスタン,0,2,0%,7
ハンガリー,0,2,0%,7.5
バーレーン,0,2,0%,8
タンザニア,0,2,0%,8
ギリシャ,0,2,0%,17.5
リトアニア,0,2,0%,18.5
ウルグアイ,0,1,0%,1
ルクセンブルグ,0,1,0%,2
パラグアイ,0,1,0%,2
ガーナ,0,1,0%,3
イラン,0,1,0%,3
クウェート,0,1,0%,3
レバノン,0,1,0%,3
セントルシア,0,1,0%,3
マケドニア,0,1,0%,5
ガイアナ,0,1,0%,7
パレスチナ,0,1,0%,7
マラウイ,0,1,0%,9
ルワンダ,0,1,0%,9
セイシェル,0,1,0%,9
アンティグア・バーブーダ,0,1,0%,10
ボスニア・ヘルツェゴビナ,0,1,0%,10
マルタ,0,1,0%,11
チャド,0,1,0%,11
米領バージン諸島,0,1,0%,12
スロバキア,0,1,0%,19
