日付,クリック数,表示回数,CTR,掲載順位
2026-01-13,4,425,0.94%,10
2026-01-14,9,406,2.22%,8.4
2026-01-15,3,339,0.88%,8.7
2026-01-16,1,296,0.34%,13.4
2026-01-17,3,295,1.02%,8.1
2026-01-18,9,402,2.24%,10.4
2026-01-19,12,465,2.58%,9.8
2026-01-20,5,348,1.44%,9.9
2026-01-21,3,359,0.84%,8.4
2026-01-22,8,378,2.12%,10.2
2026-01-23,3,271,1.11%,6.7
2026-01-24,2,317,0.63%,10.4
2026-01-25,6,444,1.35%,12.6
2026-01-26,5,421,1.19%,10.2
2026-01-27,3,432,0.69%,10.3
2026-01-28,11,496,2.22%,8.4
2026-01-29,9,575,1.57%,7.1
2026-01-30,4,486,0.82%,12.2
2026-01-31,4,440,0.91%,9.4
2026-02-01,3,563,0.53%,11.2
2026-02-02,8,471,1.7%,11
2026-02-03,8,501,1.6%,7.8
2026-02-04,5,692,0.72%,7.1
2026-02-05,4,673,0.59%,8.6
2026-02-06,8,510,1.57%,8.6
2026-02-07,4,440,0.91%,11
2026-02-08,1,401,0.25%,10.6
2026-02-09,9,528,1.7%,11.5
