レポート開始日,レポート終了日,広告の名前,広告の配信,アトリビューション設定,結果,結果インジケーター,リーチ,フリークエンシー,結果の単価,広告セットの予算,広告セットの予算タイプ,"消化金額 (JPY)",終了日時,品質ランキング,エンゲージメント率ランキング,コンバージョン率ランキング,インプレッション,"CPM(インプレッション単価) (JPY)",リンクのクリック,shop_clicks,"CPC(リンククリックの単価) (JPY)",CTR(リンククリックスルー率),クリック(すべて),CTR(すべて),"CPC(すべて) (JPY)",ランディングページビュー,"ランディングページビューの単価 (JPY)"
2025-05-05,2026-03-05,Global_0522_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,9,actions:offsite_conversion.fb_pixel_complete_registration,13399,1.814762,3479,2000,1日,31311,2025-12-04,―,―,―,24316,1287.67067,147,,213,0.60454,355,1.459944,88.2,131,239.015267
2025-05-05,2026-03-05,Global_0522_B,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,2,actions:offsite_conversion.fb_pixel_complete_registration,2922,1.383299,3489.5,2000,1日,6979,2025-12-04,―,―,―,4042,1726.620485,30,,232.633333,0.742207,62,1.533894,112.564516,24,290.791667
2025-05-05,2026-03-05,Global_0625_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,17,actions:offsite_conversion.fb_pixel_complete_registration,23415,2.608542,4048.52941176,2000,1日,68825,2025-12-04,―,―,―,61079,1126.819365,270,,254.907407,0.44205,778,1.27376,88.46401,236,291.631356
2025-05-05,2026-03-05,Global_0625_B,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,14,actions:offsite_conversion.fb_pixel_complete_registration,29082,2.367375,5519.5,2000,1日,77273,2025-12-04,―,―,―,68848,1122.37102,348,,222.048851,0.505461,875,1.270916,88.312,307,251.703583
2025-05-05,2026-03-05,Global_0709_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,29,actions:offsite_conversion.fb_pixel_complete_registration,17833,2.649526,2085.51724138,2000,1日,60480,2025-12-04,―,―,―,47249,1280.027091,345,,175.304348,0.730174,819,1.73337,73.846154,320,189
2025-05-05,2026-03-05,Global_0709_B,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,7,actions:offsite_conversion.fb_pixel_complete_registration,3256,1.994165,1355.85714286,2000,1日,9491,2025-12-04,―,―,―,6493,1461.728015,44,,215.704545,0.677653,117,1.801941,81.119658,38,249.763158
2025-05-05,2026-03-05,Global_0806_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,29,actions:offsite_conversion.fb_pixel_complete_registration,14682,2.406893,1829.89655172,2000,1日,53067,2025-12-04,―,―,―,35338,1501.697889,298,,178.077181,0.843285,685,1.938423,77.470073,265,200.25283
2025-05-05,2026-03-05,Global_0910_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,9,actions:offsite_conversion.fb_pixel_complete_registration,17846,2.209739,7676,2000,1日,69084,2025-12-04,―,―,―,39435,1751.844808,554,,124.700361,1.404843,1012,2.566248,68.264822,459,150.509804
2025-05-05,2026-03-05,Global_1002_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,4,actions:offsite_conversion.fb_pixel_complete_registration,9789,2.265706,10871.75,2000,1日,43487,2025-12-04,―,―,―,22179,1960.728617,148,,293.831081,0.667298,380,1.713332,114.439474,130,334.515385
2025-05-05,2026-03-05,Global_1002_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,3,actions:offsite_conversion.fb_pixel_complete_registration,5394,1.228217,2517.66666667,2000,1日,7553,2025-12-04,―,―,―,6625,1140.075472,24,,314.708333,0.362264,52,0.784906,145.25,22,343.318182
2025-05-05,2026-03-05,Global_1002_B,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,16,actions:offsite_conversion.fb_pixel_complete_registration,14202,2.213773,3830.0625,2000,1日,61281,2025-12-04,―,―,―,31440,1949.141221,175,,350.177143,0.556616,409,1.300891,149.831296,146,419.732877
2025-05-05,2026-03-05,Global_1002_A,inactive,クリックから7日間、表示から1日間、またはエンゲージビューから1日間,5,actions:offsite_conversion.fb_pixel_complete_registration,7860,2.090967,6659.4,2000,1日,33297,2025-12-04,―,―,―,16435,2025.981138,91,,365.901099,0.553696,212,1.28993,157.061321,69,482.565217
