Query,Page,Clicks,Impressions,CTR,Position
日本語習得 時間,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,2,57,3.51%,1.70
ネパール人材 特徴,https://gaikoku-jinzai.tcj-education.com/posts/nepali_personnel,1,37,2.70%,25.76
外国人採用 リスク管理,https://gaikoku-jinzai.tcj-education.com/posts/risk_managemen,1,88,1.14%,2.69
日本語 習得 時間,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,1,43,2.33%,1.91
"""技能実習生"" ""労災保険"" 厚生労働省",https://gaikoku-jinzai.tcj-education.com/posts/work_injury_insurance,0,3,0.00%,11.00
8時間労働 日本だけ,https://gaikoku-jinzai.tcj-education.com/posts/work_life_balance,0,1,0.00%,1.00
bjt jlpt 換算,https://gaikoku-jinzai.tcj-education.com/posts/bjt2,0,1,0.00%,2.00
epa日本語教師 倍率,https://gaikoku-jinzai.tcj-education.com/seminar/sem06,0,1,0.00%,8.00
international ojt,https://gaikoku-jinzai.tcj-education.com/posts/ojt_method,0,2,0.00%,24.50
jlpt,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,0,1,0.00%,1.00
jlpt n3 レベル,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,0,1,0.00%,1.00
jlpt n3 時間,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,0,2,0.00%,1.50
jlpt とは,https://gaikoku-jinzai.tcj-education.com/posts/JLPT,0,4,0.00%,1.00
jlpt ビジネスレベル,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,0,40,0.00%,21.52
jlpt レベル,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,0,13,0.00%,1.00
jlpt 合格点,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,0,1,0.00%,1.00
jlpt 学習 時間 目安,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,0,19,0.00%,7.53
jlpt 学習時間 目安,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,0,12,0.00%,6.17
jlpt 意味,https://gaikoku-jinzai.tcj-education.com/posts/JLPT,0,1,0.00%,1.00
jlpt 満点,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,0,2,0.00%,1.00
jlptとは,https://gaikoku-jinzai.tcj-education.com/posts/JLPT,0,14,0.00%,1.00
jlptとは,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,0,1,0.00%,1.00
