filename,title,date,char_count,h2_count,h3_count,issue_count,issues
business_manners2.md,“なぜ”を伝えると変わる！外国人社員に伝わる“日本のビジネスマナー”の教え方（前編）,2025-04-21,0,0,0,2,Thin Content (<1000 chars); No H2 Headings
communication.md,外国人社員とのコミュニケーションの鍵「ワセダ」とは？｜やさしい日本語の実践（後編）,2025-04-25,0,0,0,2,Thin Content (<1000 chars); No H2 Headings
mhcryih6.md,採用後の「言葉の壁」を解決！特定技能向け日本語研修、無料モニター企業を募集しています,2025-08-08,0,0,0,2,Thin Content (<1000 chars); No H2 Headings
second_language.md,第二言語で日本語を学ぶ｜「ハサミ」が鍵！やさしい日本語の実践（前編）,2025-04-24,0,0,0,2,Thin Content (<1000 chars); No H2 Headings
sem08.md,※好評につき追加開催【モニター募集！！】TCJグローバルによる外国人材向け日本語教育の導入を実現する実証事業について、徹底解説します。（※当事業は、文部科学省「認定日本語教育機関活用促進事業」の一貫で取り組んでおります）,2025-10-08,0,0,0,2,Thin Content (<1000 chars); No H2 Headings
sem10.md,無料ウェビナー【現場教育担当 必見！】外国人材とのコミュニケーション術　～コツは「口に出して伝えること」～,2025-10-23,0,0,0,2,Thin Content (<1000 chars); No H2 Headings
tcj_recruitment.md,【TCJ Recruitment】日本語教育機関による外国人材紹介サービスについて,2024-12-08,948,2,4,1,Thin Content (<1000 chars)
workshop_ideas.md,日本人社員にも必要！外国人材との相互理解を深めるための研修アイデア,2025-04-16,1908,0,5,1,No H2 Headings
business_etiquette.md,外国人材が困惑する日本のビジネスマナー,2025-01-30,1957,0,5,1,No H2 Headings
nursing_care_training.md,【フィリピン人介護士】受け入れ施設での就労前に受ける教育・研修を解説,2025-03-09,2523,0,5,1,No H2 Headings
interview.md,【学生インタビュー】海外からの視点で見る、日本の就職活動とは？,2025-04-01,4234,0,6,1,No H2 Headings
nursing_care.md,外国人スタッフが戦力になる職場とは？ 採用＆育成のポイント～介護業編～,2025-03-05,1706,3,8,0,
engineer.md,外国人スタッフが戦力になる職場とは？ 採用＆育成のポイント～エンジニア編～,2025-03-02,1889,3,8,0,
manufacturing_industry1.md,外国人スタッフが戦力になる職場とは？ 採用＆育成のポイント～製造業編～,2025-05-28,1889,3,8,0,
labor_law.md,企業が知っておくべき！外国人労働者の労働法と在留資格のポイント,2025-03-25,1982,3,4,0,
construction_industry1.md,外国人スタッフが戦力になる職場とは？ 採用＆育成のポイント～建設業編～,2025-05-23,1989,4,6,0,
career_path.md,【完全ガイド】外国人材のキャリアパス｜成功へ導く企業の支援と定着戦略,2025-03-04,2014,7,6,0,
unspoken_rule.md,日本企業での「暗黙のルール」とは？外国人社員が直面する課題と対応策,2025-03-28,2017,2,4,0,
training_customer_service_staff.md,外国人スタッフが戦力になる職場とは？ 採用＆育成のポイント～接客業編～,2025-02-14,2033,4,10,0,
learning_japanese.md,ビジネスパーソンが私費で日本語を学ぶ理由を徹底解説,2025-04-15,2046,4,6,0,
jlpt.md,日本語能力試験（JLPT）の概要と実際の候補者スキル,2025-02-25,2067,4,6,0,
improve_the_retention_rate.md,外国人材が会社に期待するサポートとは｜定着率向上のための具体策,2025-03-17,2104,4,6,0,
company_culture.md,多国籍チームの時代へ｜外国人社員が増えると企業文化はどう変化する？,2025-03-21,2123,4,9,0,
weak_yen.md,円安が外国人労働者の採用に及ぼす影響とは？,2025-04-09,2269,5,5,0,
elderly_care_industry1.md,介護業界での外国人材採用ガイド【前編：EPA・在留資格「介護」徹底解説】,2025-02-27,2271,3,8,0,
elderly_care_industry2.md,介護業界での外国人材採用ガイド【後編：特定技能・技能実習徹底解説】,2025-02-28,2274,3,10,0,
employment_terms.md,外国人材が重視する雇用条件：成功する採用戦略とは,2025-03-11,2299,5,10,0,
japanese_writing.md,外国人社員の日本語力問題！「書く」力の伸ばし方,2025-02-15,2303,3,8,0,
work_life_balance.md,【徹底比較】世界の働き方とワークライフバランス事情,2025-04-04,2364,5,10,0,
recruit_foreign_talent.md,効果的な外国人募集の方法｜成功するためのポイントと手法,2025-02-22,2413,3,3,0,
residence_status.md,【必読】外国人留学生の採用に伴う在留資格変更手続き完全ガイド,2025-03-20,2434,6,7,0,
japanese_speaking.md,外国人社員の日本語力問題！「話す」力の伸ばし方,2025-02-10,2448,3,8,0,
business_manners.md,【国別比較】ビジネスマナーの違いとは？外国人材と円滑に働くためのポイント,2025-04-14,2470,5,7,0,
residence_status2.md,在留資格の更新手続き完全ガイド｜必要書類・手順・注意点を徹底解説,2025-03-31,2490,4,9,0,
application_document.md,応募書類から読み取る外国人材の日本語能力,2025-02-26,2508,5,9,0,
recruitment_cost.md,採用コストを抑えて優秀な外国人材を確保！成功企業の工夫とは？,2025-03-12,2520,3,7,0,
staffing.md,人材派遣・人材紹介のメリットとデメリットを解説！企業の人材戦略に最適な選択とは？,2025-03-03,2539,7,7,0,
foreign_parttime_worker.md,留学生アルバイトの採用方法｜成功のポイントと注意点を徹底解説,2025-03-07,2552,7,14,0,
japanese_listening.md,外国人社員の日本語力問題！「聞く」力の伸ばし方,2025-02-20,2604,3,8,0,
job_posting2.md,外国人採用のための求人票の作り方＜応用編＞｜具体例と作成手順を解説,2025-02-18,2608,3,7,0,
time_to_learn_japanese.md,外国人社員が「日本語習得のために必要な時間数」とは,2025-04-11,2649,4,5,0,
job_satisfaction.md,海外出身社員が感じる日本企業でのやりがいと壁とは？成功のポイントも解説,2025-04-07,2657,5,8,0,
communication3.md,外国人社員と円滑に働くために②｜新人研修で教えたい厳選フレーズ5選,2025-05-16,2695,3,8,0,
