Query,Page,Device,Clicks,Impressions,CTR,Position
日本語習得 時間,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,DESKTOP,1,16,6.3%,5.2
指示 やわらかい 表現,https://gaikoku-jinzai.tcj-education.com/posts/clear_japanese,MOBILE,0,181,0.0%,7.4
日本語レベル,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,MOBILE,0,100,0.0%,1.0
jlptとは,https://gaikoku-jinzai.tcj-education.com/posts/JLPT,MOBILE,0,91,0.0%,1.0
外国人 日本語レベル 見極め,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,DESKTOP,0,85,0.0%,5.1
外国人採用 リスク管理,https://gaikoku-jinzai.tcj-education.com/posts/risk_managemen,DESKTOP,0,83,0.0%,2.4
外国人 オンボーディング,https://gaikoku-jinzai.tcj-education.com/posts/onboarding,DESKTOP,0,81,0.0%,6.0
日本語学習時間 目安,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,DESKTOP,0,75,0.0%,8.7
外国人 ビジネスマナー 比較,https://gaikoku-jinzai.tcj-education.com/posts/Business_manners,DESKTOP,0,71,0.0%,9.6
フィリピン人 介護士,https://gaikoku-jinzai.tcj-education.com/posts/nursing_care_training,DESKTOP,0,60,0.0%,17.6
優秀 外国人 採用,https://gaikoku-jinzai.tcj-education.com/posts/recruitment_cost,DESKTOP,0,59,0.0%,14.8
外国人 求人票 書き方,https://gaikoku-jinzai.tcj-education.com/posts/job_posting2,DESKTOP,0,58,0.0%,17.9
日本語習得 時間,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,MOBILE,0,54,0.0%,3.3
技能実習生 労災保険 適用 厚生労働省,https://gaikoku-jinzai.tcj-education.com/posts/work_injury_insurance,DESKTOP,0,53,0.0%,10.1
指示を出す 言い換え,https://gaikoku-jinzai.tcj-education.com/posts/clear_japanese,MOBILE,0,50,0.0%,8.5
外国人 選考 ポイント,https://gaikoku-jinzai.tcj-education.com/posts/points_to_note,DESKTOP,0,37,0.0%,17.5
jlpt ビジネスレベル,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,DESKTOP,0,35,0.0%,18.5
優秀 外国人 見極め,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,DESKTOP,0,35,0.0%,38.3
フィリピン 介護 人材,https://gaikoku-jinzai.tcj-education.com/posts/nursing_care_training,DESKTOP,0,32,0.0%,45.6
労災 適用範囲,https://gaikoku-jinzai.tcj-education.com/posts/work_injury_insurance,MOBILE,0,32,0.0%,1.0
指示 やわらかい 表現,https://gaikoku-jinzai.tcj-education.com/posts/clear_japanese,DESKTOP,0,32,0.0%,8.3
就職先 jlpt level,https://gaikoku-jinzai.tcj-education.com/posts/japanese_lang_skills,DESKTOP,0,31,0.0%,8.5
働き方 違い 海外,https://gaikoku-jinzai.tcj-education.com/posts/work_life_balance,DESKTOP,0,30,0.0%,63.1
外国人 採用 コスト,https://gaikoku-jinzai.tcj-education.com/posts/recruitment_cost,DESKTOP,0,30,0.0%,69.3
外国人 求人票 ポイント,https://gaikoku-jinzai.tcj-education.com/posts/job_posting2,DESKTOP,0,30,0.0%,31.2
海外人材タイムス,https://gaikoku-jinzai.tcj-education.com/,DESKTOP,0,29,0.0%,6.2
外国人 日本語レベル 見極め,https://gaikoku-jinzai.tcj-education.com/posts/time_to_learn_japanese,DESKTOP,0,28,0.0%,48.1
外国人採用 失敗,https://gaikoku-jinzai.tcj-education.com/posts/risk_managemen,DESKTOP,0,28,0.0%,26.9
留学生 アルバイト 採用,https://gaikoku-jinzai.tcj-education.com/posts/parttimework_for_international_students,DESKTOP,0,28,0.0%,34.7
