,#,分類項目,,,,,集計元シート,,累計集計,,各月集計,各月集計,各月集計,各月集計,各月集計,各月集計,各月集計,各月集計,各月集計,各月集計,各月集計,各月集計,,各回集計,※グレー色セルは、G列とは別ソースを参照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,セミナー情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,日付,,,,「テーマ予定」シート,,2026/03/05,,2025/05/01,2025/06/01,2025/07/01,2025/08/01,2025/09/01,2025/10/01,2025/11/01,2025/12/01,2026/01/01,2026/02/01,2026/03/01,2026/04/01,,2025/05/22,2025/06/26,2025/07/10,2025/08/07,2025/09/11,2025/10/02,2025/10/16,2025/10/23,2025/10/28,2025/11/06,2025/11/11,2025/11/13,2025/11/18,2025/11/20,2025/11/25,2025/11/27,2025/12/02,2025/12/04,2025/12/11,2025/12/16,2025/12/19,2025/12/23,2026/01/06,2026/01/08,2026/01/13,2026/01/15,2026/01/20,2026/01/22,2026/01/27,2026/02/12,2026/02/17,2026/02/19,2026/02/24,2026/02/26,2026/03/10,2026/03/17,2026/03/24,2026/03/31,,,,,,,,,,,,,,,,,,,,,,
,2,,sem,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,Sem01,Sem02,Sem03,Sem04,Sem05,Sem06,Sem07,Sem08,Sem09,Sem10,Sem11,Sem12,Sem13,Sem14,Sem15,Sem16,Sem17,Sem18,Sem19,Sem20,Sem21,Sem22,Sem23,Sem24,Sem25,Sem26,Sem27,Sem28,Sem29,Sem30,Sem31,Sem32,Sem33,Sem34,Sem35,Sem36,Sem37,Sem38,,,,,,,,,,,,,,,,,,,,,,
,3,,開催回数,,,,,,34,,1,1,1,1,1,4,7,6,7,5,0,0,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,4,,カテゴリ,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,外国人材採用,外国人材採用,外国人材採用,外国人材採用,外国人材採用,企業事例,海外紹介,制度紹介,制度紹介,日本語教育,海外紹介,企業事例,海外紹介,外国人材採用,制度紹介,制度紹介,海外紹介,海外紹介,制度紹介,海外紹介,海外紹介,海外紹介,海外紹介,外国人材採用,制度紹介,外国人材採用,海外紹介,外国人材採用,海外紹介,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,業界特化,,,,,,,,,,,,,,,,,,,,,,
,5,,登壇者,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,徳田,徳田,徳田,樋田,杉田,松井,ウメシュ,杉田,-,和田,タオ,松井,ラジブ,フン,座安さん？,座安さん？,アンディ,-,座安さん？,ギリ,トーマス,スベディ,アンディ,-,座安さん？,-,ラジブ,浅原,トーマス,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
,6,,配信形式,,,,「テーマ予定」シート,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,録画,録画,ライブ,ライブ,録画,ライブ,ライブ,ライブ,ライブ,ライブ,録画,録画,ライブ,ライブ,ライブ,録画,ライブ,録画,ライブ,録画,ライブ,録画,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,ライブ,,,,,,,,,,,,,,,,,,,,,,
,7,セミナー参加集計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,申込者数,,,,「zoho_ウェビナー申込_25/12~」シート,,685,,9,34,39,27,33,122,170,129,74,48,0,0,,9,34,39,27,33,41,55,16,10,29,21,5,45,10,46,14,9,20,26,26,35,13,8,6,9,2,30,14,5,9,7,10,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,9,,参加者数,,,,[要修正 : ウェビナー受講履歴シートでは、12月途中まで？],,119,,7,13,18,9,9,52,11,0,0,0,0,0,,7,13,18,9,9,19,28,4,1,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
