No.,日付,時間,ステータス,カテゴリ,サブカテゴリ,配信形式,司会者,登壇者,登壇依頼先,セミナーテーマ,聞き手からの質問,,ターゲット,,,,,,,,,,,,,,,広告配信日,メルマガ配信日,,ターゲット仮説,備考
,,,,,,,,,,,,,業種,,,,,,外国人経験,,,企業規模,,,,エリア,,-14,-14,,,
,,,,,,,,,,,,,外食,介護,宿泊,製造,他,,アリ,無し,,大手,中堅,中小,,都市,地方,,,,,
Sem01,05/22(木),13:30-14:00,開催済み,外国人材採用,,ライブ,徳田,徳田,,定着する特定技能人材を見抜く採用面接,,,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✓,,✓,✓,05/08(木),05/08(木),,,
Sem02,06/26(木),13:30-14:00,開催済み,外国人材採用,,ライブ,徳田,徳田,,外国人材が活躍する社内コミュニケーション,,,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✓,,✓,✓,06/12(木),06/12(木),,,
Sem03,07/10(木),13:30-14:00,開催済み,外国人材採用,,ライブ,徳田,徳田,,「日本語ができる外国人はどこまでか」現場で通用するラインを可視化します！,,,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✓,,✓,✓,06/26(木),06/26(木),,,
Sem04,08/07(木),13:30-14:00,開催済み,外国人材採用,,ライブ,樋田,樋田,日本語教師,雇用現場の当事者が語る、“現場トラブル未然防止”のための特定技能人材コミュニケーション術,,,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✓,,✓,✓,07/24(木),07/24(木),,,
Sem05,09/11(木),13:30-14:00,開催済み,外国人材採用,,ライブ,杉田,杉田,,文化庁事業で叶える教育費ゼロ｜認定日本語教育機関活用セミナー,,,✓,✓,✓,✓,✓,,-,✓,,✓,✓,✓,,✓,✓,08/28(木),08/28(木),,,Zoho導入に伴いリードの定義を変更
Sem06,10/02(木),13:30-14:00,開催済み,企業事例,外食,ライブ,徳田,松井,プロント,外食の人手不足を解決！外国人材活用ウェビナー,,,✓,-,-,-,-,,✓,✓,,✓,✓,✓,,✓,✓,09/18(木),09/18(木),,外食業の慢性的な人手不足企業,
Sem07,10/16(木),13:30-14:00,開催済み,海外紹介,ネパール,ライブ,杉田,ウメシュ,JANELINK,ネパール人材のリアルを知る！現地日本語学校と働く若者の声 (JANELINK × TCJ),,,✓,✓,✓,-,-,,✓,-,,-,✓,✓,,✓,✓,10/02(木),10/02(木),,外国人雇用経験アリ、より質の高い人材採用を狙う企業,
Sem08,10/23(木),13:30-14:00,開催済み,制度紹介,文科省事業,録画,杉田,杉田,,文化庁事業で叶える教育費ゼロ｜認定日本語教育機関活用セミナー,,,✓,✓,✓,-,-,,✓,-,,-,✓,✓,,✓,✓,10/09(木),10/09(木),,既に外国人雇用実績のあるが日本語教育機会に不満の企業,
